null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 38.CN_BIN=7 / 38.A.L_BIN=7 [52,52] Werte
# unnamed - Apr 29, 2014 12:36:34 PM [0,0] Werte
#
#
Y	Y	Y	
0.0000	3.9695	-5.0000	
1.0000	3.4693	-5.0000	
2.0000	3.0990	-5.0000	
3.0000	3.0006	-5.0000	
4.0000	2.9173	-5.0000	
5.0000	2.2345	-5.0000	
6.0000	2.8044	-5.0000	
7.0000	2.9239	-5.0000	
8.0000	2.5159	-5.0000	
9.0000	0.3604	-5.0000	
10.0000	0.2021	-5.0000	
11.0000	0.0798	-5.0000	
12.0000	0.3742	-5.0000	
13.0000	0.2741	-5.0000	
14.0000	0.3087	-5.0000	
15.0000	0.3226	-5.0000	
16.0000	0.6275	-5.0000	
17.0000	0.4374	-5.0000	
18.0000	0.1499	-5.0000	
19.0000	0.1582	-5.0000	
20.0000	0.2352	-5.0000	
21.0000	0.7505	-5.0000	
22.0000	0.3514	-5.0000	
23.0000	1.0616	-5.0000	
24.0000	1.2578	-5.0000	
25.0000	0.9149	-5.0000	
26.0000	0.9862	-5.0000	
27.0000	1.0504	-5.0000	
28.0000	0.8581	-5.0000	
29.0000	0.9158	-5.0000	
30.0000	0.7541	-5.0000	
31.0000	0.8045	-5.0000	
32.0000	1.2547	-5.0000	
33.0000	0.7215	-5.0000	
34.0000	0.4668	-5.0000	
35.0000	0.8303	-5.0000	
36.0000	0.8489	-5.0000	
37.0000	0.9483	-5.0000	
38.0000	0.0000	-5.0000	
39.0000	0.8384	-5.0000	
40.0000	1.0155	-5.0000	
41.0000	0.9107	-5.0000	
42.0000	0.9177	-5.0000	
43.0000	0.6193	-5.0000	
44.0000	0.6214	-5.0000	
45.0000	0.8088	-5.0000	
46.0000	0.4303	-5.0000	
47.0000	0.5930	-5.0000	
48.0000	0.6768	-5.0000	
49.0000	0.5020	-5.0000	
50.0000	0.7231	-5.0000	
51.0000	0.3413	-5.0000	
