null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Hadoop_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	0.0000	
1.0000	0.3010	
2.0000	0.0000	
3.0000	0.0000	
4.0000	0.6021	
5.0000	0.0000	
6.0000	0.4771	
7.0000	0.8451	
8.0000	0.0000	
9.0000	0.0000	
10.0000	0.6021	
11.0000	0.3010	
12.0000	0.3010	
13.0000	0.0000	
14.0000	0.3010	
15.0000	0.0000	
16.0000	0.4771	
17.0000	0.0000	
18.0000	0.4771	
19.0000	0.3010	
20.0000	0.3010	
21.0000	0.7782	
22.0000	0.0000	
23.0000	0.0000	
24.0000	0.3010	
25.0000	0.4771	
26.0000	0.0000	
27.0000	0.0000	
28.0000	0.4771	
29.0000	0.3010	
30.0000	0.4771	
31.0000	0.0000	
32.0000	0.6021	
33.0000	0.6990	
34.0000	0.3010	
35.0000	0.0000	
36.0000	0.3010	
37.0000	0.0000	
38.0000	0.0000	
39.0000	0.0000	
40.0000	0.4771	
41.0000	0.0000	
42.0000	0.0000	
43.0000	0.3010	
44.0000	0.0000	
45.0000	0.0000	
46.0000	0.4771	
47.0000	0.4771	
48.0000	0.3010	
49.0000	0.3010	
50.0000	0.0000	
51.0000	0.3010	
52.0000	0.0000	
53.0000	0.3010	
54.0000	0.3010	
55.0000	0.4771	
56.0000	0.3010	
57.0000	0.0000	
58.0000	0.0000	
59.0000	0.6021	
60.0000	0.3010	
61.0000	0.0000	
62.0000	0.0000	
63.0000	0.4771	
64.0000	0.4771	
65.0000	0.0000	
66.0000	0.3010	
67.0000	0.4771	
68.0000	0.0000	
69.0000	0.6990	
70.0000	0.6990	
71.0000	0.4771	
72.0000	0.0000	
73.0000	0.6990	
74.0000	0.6021	
75.0000	0.3010	
76.0000	0.6021	
77.0000	0.4771	
78.0000	0.3010	
79.0000	0.3010	
80.0000	0.3010	
81.0000	0.7782	
82.0000	0.4771	
83.0000	0.3010	
84.0000	0.4771	
85.0000	0.3010	
86.0000	0.4771	
87.0000	0.3010	
88.0000	0.4771	
89.0000	0.3010	
90.0000	0.7782	
91.0000	0.3010	
