null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_ZooKeeper_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	0.0000	
1.0000	0.6990	
2.0000	0.0000	
3.0000	0.6990	
4.0000	0.6990	
5.0000	0.6021	
6.0000	0.4771	
7.0000	0.4771	
8.0000	0.3010	
9.0000	0.0000	
10.0000	0.3010	
11.0000	0.6021	
12.0000	0.9031	
13.0000	0.6990	
14.0000	0.3010	
15.0000	0.7782	
16.0000	0.4771	
17.0000	0.4771	
18.0000	0.3010	
19.0000	0.6990	
20.0000	0.8451	
21.0000	0.9031	
22.0000	0.0000	
23.0000	0.0000	
24.0000	0.7782	
25.0000	0.6990	
26.0000	0.8451	
27.0000	0.9031	
28.0000	0.6021	
29.0000	0.4771	
30.0000	0.3010	
31.0000	0.8451	
32.0000	1.5051	
33.0000	1.9138	
34.0000	1.2041	
35.0000	1.1461	
36.0000	1.0414	
37.0000	1.0792	
38.0000	1.0792	
39.0000	1.2553	
40.0000	1.2553	
41.0000	1.2788	
42.0000	1.0414	
43.0000	0.9542	
44.0000	0.9542	
45.0000	1.1139	
46.0000	1.2304	
47.0000	1.1461	
48.0000	0.9031	
49.0000	1.1761	
50.0000	1.0792	
51.0000	1.0000	
52.0000	1.2553	
53.0000	1.5185	
54.0000	1.6532	
55.0000	1.3802	
56.0000	1.2041	
57.0000	1.5315	
58.0000	0.9542	
59.0000	1.1761	
60.0000	1.2788	
61.0000	1.2041	
62.0000	1.4150	
63.0000	1.5315	
64.0000	1.2788	
65.0000	1.2788	
66.0000	1.1761	
67.0000	1.4314	
68.0000	1.2304	
69.0000	1.5798	
70.0000	1.1461	
71.0000	1.3979	
72.0000	1.2553	
73.0000	1.4314	
74.0000	1.3424	
75.0000	1.4914	
76.0000	1.4771	
77.0000	1.3802	
78.0000	2.0128	
79.0000	1.1139	
80.0000	1.3424	
81.0000	1.3010	
82.0000	1.3617	
83.0000	1.3424	
84.0000	1.3222	
85.0000	1.1761	
86.0000	1.1761	
87.0000	1.4624	
88.0000	1.2304	
89.0000	1.2553	
90.0000	1.3424	
91.0000	1.3617	
92.0000	1.0000	
93.0000	0.7782	
94.0000	1.2304	
95.0000	1.2553	
96.0000	1.3802	
97.0000	1.0414	
98.0000	1.3802	
99.0000	0.7782	
100.0000	1.3802	
101.0000	1.2553	
102.0000	1.3424	
103.0000	1.2788	
104.0000	1.2788	
105.0000	1.3424	
106.0000	1.0792	
107.0000	0.6990	
108.0000	1.1761	
109.0000	1.3222	
110.0000	1.3802	
111.0000	1.4472	
112.0000	1.3222	
113.0000	1.2304	
114.0000	0.7782	
115.0000	1.1461	
116.0000	1.3010	
117.0000	1.2304	
118.0000	1.3424	
119.0000	1.4624	
120.0000	1.1461	
121.0000	1.0000	
122.0000	1.0792	
123.0000	1.4914	
124.0000	1.4472	
125.0000	1.7324	
126.0000	1.4624	
127.0000	1.1139	
128.0000	1.3010	
129.0000	1.4771	
130.0000	1.3802	
131.0000	1.3617	
132.0000	1.3222	
133.0000	1.3617	
134.0000	1.2553	
135.0000	1.1761	
136.0000	1.3222	
137.0000	1.2553	
138.0000	1.2041	
139.0000	1.3979	
140.0000	1.3222	
141.0000	1.1139	
142.0000	1.4624	
143.0000	1.4624	
144.0000	1.3979	
145.0000	1.0000	
146.0000	1.3010	
147.0000	1.3222	
148.0000	0.6990	
149.0000	0.9542	
150.0000	1.0414	
151.0000	1.4314	
152.0000	1.6902	
153.0000	1.6128	
154.0000	1.2041	
155.0000	1.0000	
156.0000	1.1139	
157.0000	1.4150	
158.0000	1.3617	
