null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Mahout_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	0.9031	
1.0000	1.1461	
2.0000	0.9542	
3.0000	1.2041	
4.0000	1.4771	
5.0000	1.4314	
6.0000	1.4624	
7.0000	1.4314	
8.0000	1.4150	
9.0000	1.3424	
10.0000	1.6532	
11.0000	1.7924	
12.0000	1.5441	
13.0000	1.5563	
14.0000	1.5563	
15.0000	1.4624	
16.0000	1.4314	
17.0000	1.4314	
18.0000	1.6021	
19.0000	1.5911	
20.0000	1.5682	
21.0000	1.6232	
22.0000	0.4771	
23.0000	0.0000	
24.0000	1.6628	
25.0000	1.7243	
26.0000	1.3979	
27.0000	1.9031	
28.0000	1.5315	
29.0000	1.3424	
30.0000	1.3802	
31.0000	1.5682	
32.0000	1.6021	
33.0000	1.6721	
34.0000	1.6812	
35.0000	1.6435	
36.0000	1.3979	
37.0000	1.4150	
38.0000	1.4624	
39.0000	1.6435	
40.0000	1.6812	
41.0000	1.6721	
42.0000	1.6021	
43.0000	1.2553	
44.0000	1.4472	
45.0000	1.5051	
46.0000	1.6435	
47.0000	1.6128	
48.0000	1.6435	
49.0000	1.6532	
50.0000	1.4314	
51.0000	1.3424	
52.0000	1.7993	
53.0000	1.7993	
54.0000	1.6532	
55.0000	1.6128	
56.0000	1.5682	
57.0000	1.3222	
58.0000	1.5051	
59.0000	1.5911	
60.0000	1.6435	
61.0000	1.7160	
62.0000	1.6628	
63.0000	1.6021	
64.0000	1.4472	
65.0000	1.5563	
66.0000	1.4914	
67.0000	1.6990	
68.0000	1.8062	
69.0000	1.7482	
70.0000	1.8451	
71.0000	1.6435	
72.0000	1.5441	
73.0000	1.7559	
74.0000	1.6902	
75.0000	1.7482	
76.0000	1.6532	
77.0000	1.7404	
78.0000	2.1139	
79.0000	1.5911	
80.0000	1.5441	
81.0000	1.7924	
82.0000	1.8976	
83.0000	1.7993	
84.0000	1.6990	
85.0000	1.7634	
86.0000	1.5911	
87.0000	1.6435	
88.0000	1.7709	
89.0000	1.7160	
90.0000	1.7482	
91.0000	1.6532	
92.0000	1.6232	
93.0000	1.5441	
94.0000	1.7559	
95.0000	1.7709	
96.0000	1.6990	
97.0000	1.8261	
98.0000	1.7634	
99.0000	1.4624	
100.0000	1.6232	
101.0000	1.7482	
102.0000	1.7243	
103.0000	1.8388	
104.0000	1.7853	
105.0000	1.8451	
106.0000	1.6435	
107.0000	1.5185	
108.0000	1.7482	
109.0000	1.7924	
110.0000	1.7324	
111.0000	1.7993	
112.0000	1.8388	
113.0000	1.7160	
114.0000	1.7243	
115.0000	1.6902	
116.0000	1.7782	
117.0000	1.7482	
118.0000	1.7924	
119.0000	1.7709	
120.0000	1.6128	
121.0000	1.6021	
122.0000	1.6128	
123.0000	1.6902	
124.0000	1.9138	
125.0000	1.7993	
126.0000	1.7160	
127.0000	1.5682	
