null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 32.CN_BIN=7 / 32.A.L_BIN=7 [52,52] Werte
# 32.IWL_BIN=7 / 32.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	0.2227	0.3082	
1.0000	0.3197	0.3876	
2.0000	0.2863	0.3146	
3.0000	0.3003	0.3941	
4.0000	0.4420	0.4543	
5.0000	0.1161	0.3408	
6.0000	0.2422	0.2690	
7.0000	0.2587	0.4186	
8.0000	0.1867	0.3687	
9.0000	0.3719	0.4394	
10.0000	0.5154	0.4284	
11.0000	0.4565	0.4087	
12.0000	0.4680	0.3820	
13.0000	0.4769	0.3479	
14.0000	0.3527	0.4929	
15.0000	0.4219	0.4694	
16.0000	0.2541	0.3980	
17.0000	0.5671	0.4482	
18.0000	0.4201	0.5326	
19.0000	0.3957	0.5806	
20.0000	0.3893	0.5136	
21.0000	0.3263	0.4542	
22.0000	0.5207	0.5473	
23.0000	0.1248	0.3531	
24.0000	0.4225	0.4383	
25.0000	0.2911	0.5600	
26.0000	0.3440	0.4498	
27.0000	0.8108	0.5563	
28.0000	0.7911	0.5279	
29.0000	0.4858	0.6415	
30.0000	0.3165	0.5966	
31.0000	0.4108	0.6332	
32.0000	0.5243	0.5208	
33.0000	0.5394	0.4945	
34.0000	0.4693	0.5580	
35.0000	0.4625	0.5395	
36.0000	0.4697	0.5701	
37.0000	0.5939	0.4596	
38.0000	0.6606	0.6040	
39.0000	0.6574	0.5478	
40.0000	0.6561	0.6583	
41.0000	0.3474	0.6367	
42.0000	0.6245	0.6895	
43.0000	0.6899	0.6534	
44.0000	0.6911	0.7684	
45.0000	0.6764	0.6637	
46.0000	0.7038	0.6237	
47.0000	0.6379	0.6448	
48.0000	0.6577	0.7458	
49.0000	0.6455	0.6762	
50.0000	0.7378	0.5496	
51.0000	0.6515	0.4323	
