null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# en___Apache_Solr_BIN=24_log10 [365,365] Werte
#
#
Y	Y	
0.0000	1.5682	
1.0000	1.7782	
2.0000	1.9542	
3.0000	2.1239	
4.0000	2.0755	
5.0000	2.1106	
6.0000	2.0607	
7.0000	1.7243	
8.0000	1.6232	
9.0000	2.1673	
10.0000	2.1335	
11.0000	2.2253	
12.0000	2.0682	
13.0000	2.0607	
14.0000	1.6812	
15.0000	1.6721	
16.0000	2.0828	
17.0000	2.1644	
18.0000	2.2430	
19.0000	2.2014	
20.0000	2.1931	
21.0000	1.6232	
22.0000	1.7709	
23.0000	2.1584	
24.0000	2.1492	
25.0000	2.2041	
26.0000	2.1931	
27.0000	2.0899	
28.0000	1.8976	
29.0000	1.7559	
30.0000	2.1072	
31.0000	2.2041	
32.0000	2.1584	
33.0000	2.1239	
34.0000	2.0569	
35.0000	1.7482	
36.0000	1.7634	
37.0000	2.1614	
38.0000	2.1367	
39.0000	2.1644	
40.0000	2.2201	
41.0000	2.2304	
42.0000	1.6628	
43.0000	1.8195	
44.0000	2.2577	
45.0000	2.1790	
46.0000	2.2304	
47.0000	2.2405	
48.0000	2.1818	
49.0000	1.8573	
50.0000	1.7160	
51.0000	2.2480	
52.0000	2.2577	
53.0000	2.2480	
54.0000	2.2480	
55.0000	2.1492	
56.0000	1.7243	
57.0000	1.9031	
58.0000	2.2227	
59.0000	2.1139	
60.0000	2.2148	
61.0000	2.1987	
62.0000	2.1461	
63.0000	1.7634	
64.0000	1.8751	
65.0000	2.1987	
66.0000	2.1987	
67.0000	2.2122	
68.0000	2.1644	
69.0000	2.1303	
70.0000	1.7243	
71.0000	1.7324	
72.0000	2.3892	
73.0000	2.3541	
74.0000	2.1303	
75.0000	2.2304	
76.0000	2.0569	
77.0000	1.7924	
78.0000	1.8573	
79.0000	2.1492	
80.0000	2.1790	
81.0000	2.2967	
82.0000	2.2504	
83.0000	2.1553	
84.0000	1.7076	
85.0000	1.7993	
86.0000	2.1987	
87.0000	2.1038	
88.0000	2.2148	
89.0000	2.2878	
90.0000	2.1875	
91.0000	1.7634	
92.0000	1.5315	
93.0000	2.2201	
94.0000	2.2480	
95.0000	2.2279	
96.0000	2.2529	
97.0000	2.0414	
98.0000	1.7993	
99.0000	1.6721	
100.0000	2.2122	
101.0000	2.1461	
102.0000	2.2355	
103.0000	2.2601	
104.0000	2.1732	
105.0000	1.8195	
106.0000	1.7160	
107.0000	2.1875	
108.0000	2.1523	
109.0000	2.2095	
110.0000	2.2253	
111.0000	2.0414	
112.0000	1.8195	
113.0000	1.7324	
114.0000	2.0170	
115.0000	2.1614	
116.0000	2.2014	
117.0000	2.1523	
118.0000	2.1239	
119.0000	1.6335	
120.0000	1.6721	
121.0000	2.0569	
122.0000	2.1303	
123.0000	2.2014	
124.0000	2.1703	
125.0000	2.1206	
126.0000	1.6128	
127.0000	1.7634	
128.0000	2.3181	
129.0000	2.2380	
130.0000	2.1461	
131.0000	2.1584	
132.0000	2.1818	
133.0000	1.7709	
134.0000	1.6902	
135.0000	2.2227	
136.0000	2.2455	
137.0000	2.1614	
138.0000	2.1553	
139.0000	2.1584	
140.0000	2.1644	
141.0000	1.7559	
142.0000	2.1761	
143.0000	2.1367	
144.0000	2.1367	
145.0000	2.1903	
146.0000	2.1673	
147.0000	1.5051	
148.0000	1.6232	
149.0000	2.0043	
150.0000	2.2148	
151.0000	0.0000	
152.0000	0.0000	
153.0000	0.0000	
154.0000	0.0000	
155.0000	0.0000	
156.0000	0.0000	
157.0000	0.0000	
158.0000	0.0000	
159.0000	0.0000	
160.0000	0.0000	
161.0000	0.0000	
162.0000	0.0000	
163.0000	0.0000	
164.0000	0.0000	
165.0000	0.0000	
166.0000	0.0000	
167.0000	0.0000	
168.0000	0.0000	
169.0000	0.0000	
170.0000	0.0000	
171.0000	0.0000	
172.0000	0.0000	
173.0000	0.0000	
174.0000	0.0000	
175.0000	0.0000	
176.0000	0.0000	
177.0000	0.0000	
178.0000	0.0000	
179.0000	0.0000	
180.0000	0.0000	
181.0000	2.1206	
182.0000	1.7559	
183.0000	1.7559	
184.0000	2.0682	
185.0000	2.1703	
186.0000	2.1987	
187.0000	2.0969	
188.0000	2.0828	
189.0000	1.7404	
190.0000	1.7243	
191.0000	2.1903	
192.0000	2.1790	
193.0000	2.2175	
194.0000	2.2253	
195.0000	2.2014	
196.0000	1.7709	
197.0000	1.7634	
198.0000	2.2279	
199.0000	2.2718	
200.0000	2.3181	
201.0000	2.2833	
202.0000	2.2041	
203.0000	1.7243	
204.0000	1.7160	
205.0000	2.2227	
206.0000	2.2041	
207.0000	2.2455	
208.0000	2.2695	
209.0000	2.2175	
210.0000	1.8388	
211.0000	1.7993	
212.0000	2.2455	
213.0000	2.2380	
214.0000	2.3579	
215.0000	2.2304	
216.0000	2.1875	
217.0000	1.7709	
218.0000	1.7853	
219.0000	2.2742	
220.0000	2.3747	
221.0000	2.2695	
222.0000	2.3181	
223.0000	2.2279	
224.0000	1.8451	
225.0000	1.8976	
226.0000	2.2014	
227.0000	2.2718	
228.0000	2.2878	
229.0000	2.2380	
230.0000	2.3054	
231.0000	1.9138	
232.0000	1.8451	
233.0000	2.3365	
234.0000	2.3304	
235.0000	2.3617	
236.0000	2.2945	
237.0000	2.2405	
238.0000	1.9138	
239.0000	1.8195	
240.0000	2.1903	
241.0000	2.2430	
242.0000	2.2856	
243.0000	2.1673	
244.0000	2.1673	
245.0000	1.8261	
246.0000	1.7782	
247.0000	2.1673	
248.0000	2.2989	
249.0000	2.2900	
250.0000	2.2989	
251.0000	2.2625	
252.0000	1.9085	
253.0000	1.8808	
254.0000	2.2553	
255.0000	2.2148	
256.0000	2.2788	
257.0000	2.2765	
258.0000	2.2765	
259.0000	1.8513	
260.0000	2.0043	
261.0000	2.2967	
262.0000	2.3304	
263.0000	2.2455	
264.0000	2.3096	
265.0000	2.3010	
266.0000	1.9243	
267.0000	1.7853	
268.0000	2.1790	
269.0000	2.2577	
270.0000	2.2122	
271.0000	2.2625	
272.0000	2.3784	
273.0000	1.9191	
274.0000	1.9085	
275.0000	2.3054	
276.0000	2.4133	
277.0000	2.3483	
278.0000	2.3636	
279.0000	2.3243	
280.0000	1.8921	
281.0000	1.9395	
282.0000	2.3579	
283.0000	2.3502	
284.0000	2.4099	
285.0000	2.3424	
286.0000	2.3424	
287.0000	1.9542	
288.0000	1.8513	
289.0000	2.3766	
290.0000	2.4216	
291.0000	2.3502	
292.0000	2.3747	
293.0000	2.3139	
294.0000	1.8388	
295.0000	1.9823	
296.0000	2.3385	
297.0000	2.3838	
298.0000	2.4183	
299.0000	2.3365	
300.0000	2.2967	
301.0000	1.9085	
302.0000	1.9912	
303.0000	2.3483	
304.0000	2.3181	
305.0000	2.4440	
306.0000	2.4166	
307.0000	2.2856	
308.0000	1.9085	
309.0000	2.0414	
310.0000	2.3464	
311.0000	2.4200	
312.0000	2.4265	
313.0000	2.3979	
314.0000	2.3345	
315.0000	2.0569	
316.0000	1.9731	
317.0000	2.3160	
