null#
# M e s s w e r t t a b e l l e  der Reihen:
#
# 38.CN_BIN=7 / 38.A.L_BIN=7 [52,52] Werte
# 38.IWL_BIN=7 / 38.B.L_BIN=7 [52,52] Werte
#
#
Y	Y	Y	
0.0000	1.5838	0.0000	
1.0000	1.5400	0.0000	
2.0000	1.6120	0.0000	
3.0000	1.7077	0.0000	
4.0000	1.7736	0.0000	
5.0000	1.7815	0.0000	
6.0000	1.7255	0.0000	
7.0000	1.7576	0.0000	
8.0000	1.6935	0.0000	
9.0000	1.6178	0.0000	
10.0000	1.6576	0.0000	
11.0000	1.6470	0.0000	
12.0000	1.8282	0.0000	
13.0000	1.7398	0.0000	
14.0000	1.8489	0.0000	
15.0000	1.7884	0.0000	
16.0000	1.8132	0.0000	
17.0000	1.7992	0.0000	
18.0000	1.8220	0.0000	
19.0000	2.0320	0.0000	
20.0000	1.8845	0.0000	
21.0000	1.7317	0.0000	
22.0000	0.0000	0.0000	
23.0000	0.0000	0.0000	
24.0000	0.0000	0.0000	
25.0000	1.9196	0.0000	
26.0000	1.9225	0.0000	
27.0000	1.9466	0.0000	
28.0000	1.9370	0.0000	
29.0000	1.8772	0.0000	
30.0000	1.7568	0.0000	
31.0000	1.9753	0.0000	
32.0000	2.0521	0.0000	
33.0000	1.8968	0.0000	
34.0000	1.8965	0.0000	
35.0000	2.0464	0.0000	
36.0000	1.9113	0.0000	
37.0000	2.1218	0.0000	
38.0000	2.0462	0.0000	
39.0000	2.1267	0.0000	
40.0000	2.1843	0.0000	
41.0000	2.2272	0.0000	
42.0000	2.2474	0.0000	
43.0000	2.2711	0.0000	
44.0000	2.3727	0.0000	
45.0000	2.4751	0.0000	
46.0000	2.3309	0.0383	
47.0000	2.4212	0.0000	
48.0000	2.4489	0.0000	
49.0000	2.4714	0.0000	
50.0000	2.3545	0.0000	
51.0000	2.4144	0.0000	
